...1,Congressional Candidate Table 2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14
Candidate ID,State,Candidate,Party,"Incumbent/
Challenger/Open","Two-Year
Period",Receipts,"Contributions
From Individuals",Contributions from PACs and Other Committees,"Contributions/Loans
From the Candidate",Transfers,Disbursements,Cash on Hand,Debts Owed
NA,Alabama,"CABANISS, BILL",Republican Party,Challenger,1988,112850,111850,1000,0,0,11798,101052,0
NA,Alabama,"CABANISS, BILL",Republican Party,Challenger,1990,1757312,1424131,77246,112000,73500,1853869,4544,109291
NA,Alabama,"HEFLIN, HOWELL THOMAS",Democratic Party,Incumbent,1986,95976,0,9750,0,0,112924,467585,0
NA,Alabama,"HEFLIN, HOWELL THOMAS",Democratic Party,Incumbent,1988,487368,233398,178650,0,0,136899,818054,0
NA,Alabama,"HEFLIN, HOWELL THOMAS",Democratic Party,Incumbent,1990,3422129,1810620,1320755,0,0,3204160,1036023,0
NA,Alabama,"STEWART, FRANK ROSS MRS",Democratic Party,Challenger,1990,2168,85,0,2083,0,2168,0,0
NA,Alaska,"BEASLEY, MICHAEL",Democratic Party,Challenger,1990,1000,0,0,1000,0,1000,0,0
NA,Alaska,"BIRD, ROBERT MARIO",Republican Party,Challenger,1990,69211,49511,3200,4000,0,67292,1919,4000
NA,Alaska,"STEVENS, TED",Republican Party,Incumbent,1986,63469,0,33620,0,0,227758,29709,0
NA,Alaska,"STEVENS, TED",Republican Party,Incumbent,1988,230467,115958,104550,0,0,132078,128099,0
NA,Alaska,"STEVENS, TED",Republican Party,Incumbent,1990,1382980,402333,753450,0,135177,1273954,237125,0
NA,Arkansas,"PRYOR, DAVID HAMPTON",Democratic Party,Incumbent,1986,66512,0,1950,0,0,179376,65285,0
NA,Arkansas,"PRYOR, DAVID HAMPTON",Democratic Party,Incumbent,1988,205879,72633,106332,0,0,125665,145500,0
NA,Arkansas,"PRYOR, DAVID HAMPTON",Democratic Party,Incumbent,1990,1225977,611628,485067,0,0,366011,1005464,0
NA,Colorado,"BROWN, HANK",Republican Party,Open,1990,4179746,2008952,1389534,0,426082,3723911,455834,0
NA,Colorado,"HEATH, JOSEPHINE WARD (JOSIE)",Democratic Party,Open,1990,1946611,1212936,301799,400295,0,1936914,9697,185000
NA,Colorado,"LUCERO, CARLOS",Democratic Party,Open,1990,273481,152644,1575,114569,0,266106,40,106282
NA,Colorado,"SEAWELL, MALCOLM BUIE",Democratic Party,Open,1990,271945,115327,9460,145114,0,266108,5837,38301
NA,Delaware,"BIDEN, JOSEPH R JR",Democratic Party,Incumbent,1986,719180,0,9025,0,208,297556,421624,0
NA,Delaware,"BIDEN, JOSEPH R JR",Democratic Party,Incumbent,1988,183705,111289,14625,0,0,422550,182779,0
NA,Delaware,"BIDEN, JOSEPH R JR",Democratic Party,Incumbent,1990,1898297,1064609,690816,0,0,1888146,190151,49000
NA,Delaware,"BRADY, M JANE",Republican Party,Challenger,1990,244788,218936,0,0,9107,240669,4117,17378
