U.S. HOUSE OF REPRESENTATIVES ELECTIONS 1986
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,19861104,N/A,Alabama,2,5,0,"436,357","678,716",581,"242,359",D,39.13,60.87
House,19861104,N/A,Alaska,1,0,0,"101,799","74,053","4,425","27,746",R,57.89,42.11
House,19861104,N/A,Arizona,4,1,0,"539,940","260,144","3,646","279,796",R,67.49,32.51
House,19861104,N/A,Arkansas,1,3,0,"268,291","386,672","10,682","118,381",D,40.96,59.04
House,19861104,N/A,California,18,27,0,"3,328,119","3,743,542","128,488","415,423",D,47.06,52.94
House,19861104,N/A,Colorado,3,3,0,"566,236","449,683","2,338","116,553",R,55.74,44.26
House,19861104,N/A,Connecticut,3,3,0,"433,977","544,938",740,"110,961",D,44.33,55.67
House,19861104,N/A,Delaware,0,1,0,"53,767","106,351",639,"52,584",D,33.58,66.42
House,19861104,N/A,Florida,7,12,0,"986,780","1,153,710","1,561","166,930",D,46.10,53.90
House,19861104,N/A,Georgia,2,8,0,"289,068","772,986",274,"483,918",D,27.22,72.78
House,19861104,N/A,Hawaii,1,1,0,"135,054","186,891","9,251","51,837",D,41.95,58.05
House,19861104,N/A,Idaho,1,1,0,"208,153","162,758","4,848","45,395",R,56.12,43.88
House,19861104,N/A,Illinois,9,13,0,"1,393,103","1,622,759","1,348","229,656",D,46.19,53.81
House,19861104,N/A,Indiana,4,6,0,"756,135","788,419","10,953","32,284",D,48.95,51.05
House,19861104,N/A,Iowa,4,2,0,"461,455","428,022",118,"33,433",R,51.88,48.12
House,19861104,N/A,Kansas,3,2,0,"474,570","312,800",0,"161,770",R,60.27,39.73
House,19861104,N/A,Kentucky,3,4,0,"252,849","374,742","2,205","121,893",D,40.29,59.71
House,19860927,N/A,Louisiana,2,4,0,"85,307","320,005","2,387","234,698",D,21.05,78.95
House,19861104,N/A,Louisiana,1,1,0,"102,276","288,362",0,"186,086",D,26.18,73.82
House,19861104,N/A,Maine,1,1,0,"249,030","165,462","7,138","83,568",R,60.08,39.92
House,19861104,N/A,Maryland,2,6,0,"394,393","668,669",3,"274,276",D,37.10,62.90
House,19861104,N/A,Massachusetts,1,10,0,"250,385","1,198,143","54,640","947,758",D,17.29,82.71
House,19861104,N/A,Michigan,7,11,0,"977,122","1,342,034","8,020","364,912",D,42.13,57.87
House,19861104,N/A,Minnesota,3,5,0,"557,741","831,715","3,517","273,974",D,40.14,59.86
