U.S. HOUSE OF REPRESENTATIVES ELECTIONS 2002
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20021105,N/A,Alabama,5,2,0,"694,606","507,117","67,079","187,489",R,57.80,42.20
House,20021105,N/A,Alaska,1,0,0,"169,685","39,357","18,683","130,328",R,81.17,18.83
House,20021105,N/A,Arizona,6,2,0,"681,922","472,135","40,343","209,787",R,59.09,40.91
House,20021105,N/A,Arkansas,1,3,0,"283,739","392,086","12,451","108,347",D,41.98,58.02
House,20021105,N/A,California,20,33,0,"3,225,666","3,731,081","301,670","505,415",D,46.37,53.63
House,20021105,N/A,Colorado,5,2,0,"752,998","589,463","54,609","163,535",R,56.09,43.91
House,20021105,N/A,Connecticut,3,2,0,"465,982","509,036","14,291","43,054",D,47.79,52.21
House,20021105,N/A,Delaware,1,0,0,"164,605","61,011","2,789","103,594",R,72.96,27.04
House,20021105,N/A,Florida,18,7,0,"2,161,349","1,537,124","68,085","624,225",R,58.44,41.56
House,20021105,N/A,Georgia,8,5,0,"1,104,162","814,024",111,"290,138",R,57.56,42.44
House,20021105,N/A,Hawaii,0,2,0,"116,693","232,344","10,947","115,651",D,33.43,66.57
House,20021105,N/A,Idaho,2,0,0,"256,348","138,038","10,637","118,310",R,65.00,35.00
House,20021105,N/A,Illinois,10,9,0,"1,657,183","1,740,541","31,412","83,358",D,48.77,51.23
House,20021105,N/A,Indiana,6,3,0,"840,694","640,568","40,091","200,126",R,56.76,43.24
House,20021105,N/A,Iowa,4,1,0,"546,382","453,550","12,690","92,832",R,54.64,45.36
House,20021105,N/A,Kansas,3,1,0,"536,026","259,911","33,953","276,115",R,67.35,32.65
House,20021105,N/A,Kentucky,5,1,0,"693,860","350,924","49,458","342,936",R,66.41,33.59
House,20021105,N/A,Louisiana,4,2,0,"581,958","271,309","114,434","310,649",R,68.20,31.80
House,20021207,N/A,Louisiana,0,1,0,"85,744","86,718",0,974,D,49.72,50.28
House,20021105,N/A,Maine,0,2,0,"205,780","289,514",0,"83,734",D,41.55,58.45
House,20021105,N/A,Maryland,2,6,0,"752,911","904,250","4,757","151,339",D,45.43,54.57
House,20021105,N/A,Massachusetts,0,10,0,"290,484","1,528,634","21,753","1,238,150",D,15.97,84.03
House,20021105,N/A,Michigan,9,6,0,"1,474,178","1,507,174","74,545","32,996",D,49.45,50.55
House,20021105,N/A,Minnesota,4,4,0,"1,029,612","1,097,911","74,115","68,299",D,48.39,51.61
House,20021105,N/A,Mississippi,2,2,0,"338,817","320,157","18,662","18,660",R,51.42,48.58
House,20021105,N/A,Missouri,5,4,0,"985,905","829,177","38,481","156,728",R,54.32,45.68
House,20021105,N/A,Montana,1,0,0,"214,100","108,233","8,988","105,867",R,66.42,33.58
House,20021105,N/A,Nebraska,3,0,0,"386,869","46,843","40,102","340,026",R,89.20,10.80
House,20021105,N/A,Nevada,2,1,0,"301,100","171,160","27,648","129,940",R,63.76,36.24
