"year"	"state"	"party"	"last_name"	"candidate"	"candidatevotes"	"totalvotes"	"percentage"	"Incumbent/
Challenger/Open"	"raised"	"spent"	"previous_percentage"	"Previous_RPVI"	"RPVI"	"total_raised"	"total_spent"	"share_of_spent"	"history_performance"
"1"	1990	"AL"	"republican"	"CABANISS"	"Bill Cabaniss"	467190	1185154	0.394201934938413	"Challenger"	1870162	1865667	0.363546994896568	-0.272906010206865	-0.211596130123174	5875635	5319650	0.350712358895792	0.0613098800836909
"2"	1990	"CO"	"republican"	"BROWN"	"Hank Brown"	569048	1022027	0.556783724891808	"Open"	4179746	3723911	0.642483601207882	0.284967202415764	0.113567449783616	6126357	5660825	0.657838919238804	-0.171399752632148
"3"	1990	"DE"	"republican"	"BRADY"	"M. Jane Brady"	64554	180157	0.358320797970659	"Challenger"	244788	240669	0.398894816453329	-0.202210367093343	-0.283358404058682	NA	NA	NA	-0.0811480369653393
"4"	1990	"ID"	"republican"	"CRAIG"	"Larry E. Craig"	193641	315936	0.612912108781525	"Open"	1734617	1652532	0.721851549112682	0.443703098225365	0.225824217563051	2279784	2197603	0.75197021482042	-0.217878880662314
"5"	1990	"IL"	"republican"	"MARTIN"	"Lynn Martin"	1135628	3251005	0.349315980750568	"Challenger"	4986730	4922363	0.482113534983451	-0.0357729300330978	-0.301368038498864	14630614	13727303	0.358581944319288	-0.265595108465766
"6"	1990	"IA"	"republican"	"TAUKE"	"Thomas J. Tauke"	446869	983933	0.454166086511988	"Challenger"	4941559	5060104	0.43659085634718	-0.126818287305639	-0.0916678269760238	10657398	10721275	0.471968492553358	0.0351504603296156
"7"	1990	"KS"	"republican"	"KASSEBAUM"	"Nancy Landon Kassebaum"	578605	786235	0.735918650276317	"Incumbent"	532964	533632	0.759887592314461	0.519775184628921	0.471837300552634	549791	550259	0.969783320218297	-0.0479378840762874
"8"	1990	"ME"	"republican"	"COHEN"	"William S. Cohen"	319167	520320	0.613405212177122	"Incumbent"	1511752	1642425	0.73342328520183	0.466846570403659	0.226810424354243	3147469	3273319	0.501761362091504	-0.240036146049416
"9"	1990	"MA"	"republican"	"RAPPAPORT"	"Jim Rappaport"	992917	2424579	0.409521405571854	"Challenger"	5185061	5177801	0.449289084917393	-0.101421830165214	-0.180957188856292	11926709	11926088	0.434157537660296	-0.0795353586910779
"10"	1990	"MI"	"republican"	"SCHUETTE"	"Bill Schuette"	1055695	2560494	0.412301298108881	"Challenger"	2495799	2417705	0.471583690404973	-0.056832619190054	-0.175397403782239	9724753	9499869	0.254498772562022	-0.118564784592185
"11"	1990	"MN"	"republican"	"BOSCHWITZ"	"Rudy Boschwitz"	864375	1808045	0.478071618792674	"Incumbent"	7758747	7866343	0.580756511044976	0.161513022089952	-0.0438567624146523	9160453	9246903	0.850700283111005	-0.205369784504604
"12"	1990	"MT"	"republican"	"KOLSTAD"	"Allen C. Kolstad"	93836	319336	0.293847233008493	"Challenger"	748100	747661	0.406978676266962	-0.186042647466076	-0.412305533983015	3813960	3298845	0.226643264536527	-0.226262886516939
"13"	1990	"NE"	"republican"	"DAUB"	"Hal Daub"	243013	593828	0.40923129256283	"Challenger"	1461846	1452681	0.48016627375451	-0.0396674524909797	-0.181537414874341	4098995	3871016	0.375271246618459	-0.141869962383361
"14"	1990	"NH"	"republican"	"SMITH"	"Robert C. Smith"	189792	291393	0.651326558977052	"Open"	1509288	1420172	0.587529171187062	0.175058342374125	0.302653117954103	1843313	1740326	0.816037914735515	0.127594775579978
"15"	1990	"NJ"	"republican"	"WHITMAN"	"Christine Todd Whitman"	918874	1938454	0.474024145014532	"Challenger"	687420	673825	0.348818132729805	-0.302363734540391	-0.0519517099709356	13734600	12945205	0.0520520918749452	0.250412024569455
"16"	1990	"NM"	"republican"	"DOMENICI"	"Pete V. Domenici"	296712	406938	0.729133184907775	"Incumbent"	2259730	2041215	0.718954547444065	0.437909094888129	0.458266369815549	2298373	2079725	0.981483128779045	0.0203572749274201
"17"	1990	"NC"	"republican"	"HELMS"	"Jesse Helms"	1087331	2069585	0.525386007339636	"Incumbent"	18169485	18180035	0.516633162889099	0.033266325778198	0.0507720146792714	26026312	25988505	0.699541393396811	0.0175056889010734
"18"	1990	"OK"	"republican"	"JONES"	"Stephen Jones"	148814	884498	0.168246847364268	"Challenger"	140911	140912	0.234267745298793	-0.531464509402414	-0.663506305271465	1857507	1751833	0.0804368909593551	-0.13204179586905
"19"	1990	"OR"	"republican"	"HATFIELD"	"Mark O. Hatfield"	590095	1099255	0.536813569190042	NA	NA	NA	0.665290783586544	0.330581567173087	0.0736271383800846	NA	NA	NA	-0.256954428793003
"20"	1990	"RI"	"republican"	"SCHNEIDER"	"Claudine Schneider"	138947	364062	0.381657519872989	"Challenger"	1989696	2073609	0.273403736055888	-0.453192527888223	-0.236684960254023	4127895	4423737	0.468745994619481	0.216507567634201
"21"	1990	"SC"	"republican"	"THURMOND"	"Strom Thurmond"	482032	750716	0.642096345355634	"Incumbent"	2190107	2350739	0.668112067804337	0.336224135608674	0.284192690711268	2196486	2356971	0.997355928435267	-0.0520314448974066
"22"	1990	"SD"	"republican"	"PRESSLER"	"Larry Pressler"	135682	258976	0.52391727418757	"Incumbent"	2368218	2136850	0.744904391013357	0.489808782026714	0.047834548375139	3703574	3460620	0.617476059203264	-0.441974233651575
"23"	1990	"TN"	"republican"	"HAWKINS"	"William R. Hawkins"	233703	783922	0.298120221144451	"Challenger"	13510	12544	0.337987762403248	-0.324024475193503	-0.403759557711099	NA	NA	NA	-0.0797350825175958
"24"	1990	"TX"	"republican"	"GRAMM"	"Phil Gramm"	2302357	3822157	0.602371121856062	"Incumbent"	16268341	12474887	0.585480576676205	0.170961153352409	0.204742243712124	18035915	14242198	0.875910235203864	0.0337810903597144
"25"	1990	"WV"	"republican"	"YODER"	"John Yoder"	128071	404305	0.316768281371737	"Challenger"	33239	33059	0.477255985777029	-0.0454880284459411	-0.366463437256527	NA	NA	NA	-0.320975408810586
"26"	1990	"WY"	"republican"	"SIMPSON"	"Alan K. Simpson"	100784	157632	0.639362565976451	"Incumbent"	1486624	1209573	0.783170499416794	0.566340998833588	0.278725131952903	1493055	1215816	0.994865176967567	-0.287615866880685
"27"	1990	"AL"	"democrat"	"HEFLIN"	"Howell Heflin"	717814	1185154	0.605671499231324	"Incumbent"	4005473	3453983	0.627562472925846	0.255124945851693	0.211342998462647	5875635	5319650	0.649287641104208	-0.0437819473890455
"28"	1990	"CO"	"democrat"	"HEATH"	"Josie Heath"	425746	1022027	0.416570208027772	"Open"	1946611	1936914	0.346219667146706	-0.307560665706587	-0.166859583944455	6126357	5660825	0.342161080761196	0.140701081762132
"29"	1990	"DE"	"democrat"	"JR."	"Joseph R. Biden Jr."	112918	180157	0.626775534672536	NA	NA	NA	0.601105183546671	0.202210367093343	0.253551069345071	NA	NA	NA	0.0513407022517285
"30"	1990	"ID"	"democrat"	"TWILEGAR"	"Ron J. Twilegar"	122295	315936	0.387087891218475	"Open"	545167	545071	0.259968781390952	-0.480062437218097	-0.225824217563051	2279784	2197603	0.24802978517958	0.254238219655046
"31"	1990	"IL"	"democrat"	"SIMON"	"Paul Simon"	2115377	3251005	0.650684019249432	"Incumbent"	9643884	8804940	0.500730573481906	0.00146114696381172	0.301368038498864	14630614	13727303	0.641418055680712	0.299906891535052
"32"	1990	"IA"	"democrat"	"HARKIN"	"Tom Harkin"	535975	983933	0.544727130810736	"Incumbent"	5715839	5661171	0.554562543513576	0.109125087027153	0.0894542616214722	10657398	10721275	0.528031507446642	-0.0196708254056803
"33"	1990	"KS"	"democrat"	"WILLIAMS"	"Dick Williams"	207491	786235	0.263904557797605	"Challenger"	16827	16627	0.21235862506258	-0.575282749874841	-0.47219088440479	549791	550259	0.0302166797817028	0.103091865470051
"34"	1990	"ME"	"democrat"	"ROLDE"	"Neil Rolde"	201053	520320	0.386402598400984	"Challenger"	1635717	1630894	0.258658774115624	-0.482682451768751	-0.227194803198032	3147469	3273319	0.498238637908496	0.255487648570719
