U.S. HOUSE OF REPRESENTATIVES ELECTIONS 2004
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20041102,N/A,Alabama,5,2,0,"1,079,657","708,425","4,677","371,232",R,60.38,39.62
House,20041102,N/A,Alaska,1,0,0,"213,216","67,074","19,706","146,142",R,76.07,23.93
House,20041102,N/A,Arizona,6,2,0,"1,127,591","597,526","146,328","530,065",R,65.36,34.64
House,20041102,N/A,Arkansas,1,3,0,"357,840","426,380","7,020","68,540",D,45.63,54.37
House,20041102,N/A,California,20,33,0,"5,030,821","6,223,698","361,071","1,192,877",D,44.70,55.30
House,20041102,N/A,Colorado,4,3,0,"991,835","995,283","51,893","3,448",D,49.91,50.09
House,20041102,N/A,Connecticut,3,2,0,"629,934","785,747","13,057","155,813",D,44.50,55.50
House,20041102,N/A,Delaware,1,0,0,"245,978","105,716","4,351","140,262",R,69.94,30.06
House,20041102,N/A,Florida,18,7,0,"3,319,296","2,212,324","95,874","1,106,972",R,60.01,39.99
House,20041102,N/A,Georgia,7,6,0,"1,819,817","1,140,869",77,"678,948",R,61.47,38.53
House,20041102,N/A,Hawaii,0,2,0,"148,443","261,884","6,243","113,441",D,36.18,63.82
House,20041102,N/A,Idaho,2,0,0,"401,366","171,060",0,"230,306",R,70.12,29.88
House,20041102,N/A,Illinois,9,10,0,"2,271,676","2,675,273","41,716","403,597",D,45.92,54.08
House,20041102,N/A,Indiana,7,2,0,"1,381,699","999,082","35,470","382,617",R,58.04,41.96
House,20041102,N/A,Iowa,4,1,0,"822,653","624,620","10,888","198,033",R,56.84,43.16
House,20041102,N/A,Kansas,3,1,0,"723,794","386,970","45,619","336,824",R,65.16,34.84
House,20041102,N/A,Kentucky,5,1,0,"1,017,379","602,085","15,779","415,294",R,62.82,37.18
House,20041102,N/A,Louisiana,4,1,0,"648,352","359,078",0,"289,274",R,64.36,35.64
House,20041204,N/A,Louisiana,1,1,0,"132,081","119,104",0,"12,977",R,52.58,47.42
House,20041102,N/A,Maine,0,2,0,"283,210","418,380","8,586","135,170",D,40.37,59.63
House,20041102,N/A,Maryland,2,6,0,"896,232","1,310,791","48,932","414,559",D,40.61,59.39
House,20041102,N/A,Massachusetts,0,10,0,"435,239","2,059,984","85,732","1,624,745",D,17.44,82.56
House,20041102,N/A,Michigan,9,6,0,"2,288,594","2,242,435","98,211","46,159",R,50.51,49.49
House,20041102,N/A,Minnesota,4,4,0,"1,236,094","1,399,624","85,963","163,530",D,46.90,53.10
House,20041102,N/A,Mississippi,2,2,0,"658,589","336,240","121,374","322,349",R,66.20,33.80
House,20041102,N/A,Missouri,5,4,0,"1,429,767","1,192,674","44,582","237,093",R,54.52,45.48
House,20041102,N/A,Montana,1,0,0,"286,076","145,606","12,548","140,470",R,66.27,33.73
