U.S. HOUSE OF REPRESENTATIVES ELECTIONS 2000
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20001107,N/A,Alabama,5,2,0,"849,229","485,660","104,105","363,569",R,63.62,36.38
House,20001107,N/A,Alaska,1,0,0,"190,862","45,372","38,159","145,490",R,80.79,19.21
House,20001107,N/A,Arizona,5,1,0,"854,715","557,849","53,092","296,866",R,60.51,39.49
House,20001107,N/A,Arkansas,1,3,0,"277,146","355,366",253,"78,220",D,43.82,56.18
House,20001107,N/A,California,20,32,0,"4,446,295","5,407,163","584,207","960,868",D,45.12,54.88
House,20001107,N/A,Colorado,4,2,0,"968,651","496,045","159,186","472,606",R,66.13,33.87
House,20001107,N/A,Connecticut,3,3,0,"594,830","699,237","19,423","104,407",D,45.97,54.03
House,20001107,N/A,Delaware,1,0,0,"211,797","96,488","4,886","115,309",R,68.70,31.30
House,20001107,N/A,Florida,15,8,0,"2,851,623","1,976,189","183,560","875,434",R,59.07,40.93
House,20001107,N/A,Georgia,8,3,0,"1,498,337","918,085",200,"580,252",R,62.01,37.99
House,20001107,N/A,Hawaii,0,2,0,"110,895","221,373","8,156","110,478",D,33.38,66.62
House,20001107,N/A,Idaho,2,0,0,"332,655","142,345","17,835","190,310",R,70.03,29.97
House,20001107,N/A,Illinois,10,10,0,"1,907,306","2,453,674","32,372","546,368",D,43.74,56.26
House,20001107,N/A,Indiana,6,4,0,"1,140,554","953,167","63,023","187,387",R,54.47,45.53
House,20001107,N/A,Iowa,4,1,0,"717,322","531,642","26,970","185,680",R,57.43,42.57
House,20001107,N/A,Kansas,3,1,0,"657,978","328,194","52,207","329,784",R,66.72,33.28
House,20001107,N/A,Kentucky,5,1,0,"824,915","561,752","48,742","263,163",R,59.49,40.51
House,20001107,N/A,Louisiana,5,2,0,"747,115","359,668","95,388","387,447",R,67.50,32.50
