U.S. HOUSE OF REPRESENTATIVES ELECTIONS 1998
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,19981103,N/A,Alabama,5,2,0,"665,625","545,465","4,089","120,160",R,54.96,45.04
House,19981103,N/A,Alaska,1,0,0,"139,676","77,232","6,392","62,444",R,64.39,35.61
House,19981103,N/A,Arizona,5,1,0,"573,651","406,834","23,281","166,817",R,58.51,41.49
House,19981103,N/A,Arkansas,2,2,0,"319,863","168,528","36,917","151,335",R,65.49,34.51
House,19981103,N/A,California,24,28,0,"3,510,494","4,040,164","439,036","529,670",D,46.49,53.51
House,19981103,N/A,Colorado,4,2,0,"715,820","533,297","25,032","182,523",R,57.31,42.69
House,19981103,N/A,Connecticut,2,4,0,"442,066","495,557","16,836","53,491",D,47.15,52.85
House,19981103,N/A,Delaware,1,0,0,"119,811","57,446","3,270","62,365",R,67.59,32.41
House,19981103,N/A,Florida,15,8,0,"557,825","580,605","74,822","22,780",D,49.00,51.00
House,19981103,N/A,Georgia,8,3,0,"1,039,711","592,004",0,"447,707",R,63.72,36.28
House,19981103,N/A,Hawaii,0,2,0,"119,328","260,947","17,167","141,619",D,31.38,68.62
House,19981103,N/A,Idaho,2,0,0,"204,568","169,389","4,872","35,179",R,54.70,45.30
House,19981103,N/A,Illinois,10,10,0,"1,624,558","1,565,998","24,706","58,560",R,50.92,49.08
House,19981103,N/A,Indiana,6,4,0,"861,951","673,322","40,598","188,629",R,56.14,43.86
House,19981103,N/A,Iowa,4,1,0,"551,767","338,431","10,503","213,336",R,61.98,38.02
House,19981103,N/A,Kansas,3,1,0,"450,025","272,252","5,171","177,773",R,62.31,37.69
House,19981103,N/A,Kentucky,5,1,0,"637,091","456,218","5,553","180,873",R,58.27,41.73
House,19981103,N/A,Louisiana,5,2,0,"97,044","213,150",0,"116,106",D,31.28,68.72
House,19981103,N/A,Maine,0,2,0,"124,834","280,537","9,182","155,703",D,30.80,69.20
House,19981103,N/A,Maryland,4,4,0,"689,532","792,280",133,"102,748",D,46.53,53.47
House,19981103,N/A,Massachusetts,0,10,0,"412,508","1,306,281","22,964","893,773",D,24.00,76.00
House,19981103,N/A,Michigan,6,10,0,"1,438,283","1,469,111","77,839","30,828",D,49.47,50.53
House,19981103,N/A,Minnesota,2,6,0,"862,972","1,090,488","86,143","227,516",D,44.18,55.82
House,19981103,N/A,Mississippi,2,3,0,"232,415","262,858","55,644","30,443",D,46.93,53.07
House,19981103,N/A,Missouri,4,5,0,"748,432","787,655","36,030","39,223",D,48.72,51.28
House,19981103,N/A,Montana,1,0,0,"175,748","147,073","8,730","28,675",R,54.44,45.56
House,19981103,N/A,Nebraska,3,0,0,"392,736","104,548","28,675","288,188",R,78.98,21.02
House,19981103,N/A,Nevada,1,1,0,"275,163","79,315","55,367","195,848",R,77.62,22.38
House,19981103,N/A,New Hampshire,2,0,0,"190,170","124,000","3,575","66,170",R,60.53,39.47
House,19981103,N/A,New Jersey,6,7,0,"858,367","902,374","54,748","44,007",D,48.75,51.25
House,19981103,N/A,New Mexico,2,1,0,"246,127","228,084","23,479","18,043",R,51.90,48.10
House,19981103,N/A,New York,13,18,0,"1,857,572","2,278,407","131,381","420,835",D,44.91,55.09
House,19981103,N/A,North Carolina,7,5,0,"1,014,010","827,078","62,678","186,932",R,55.08,44.92
House,19981103,N/A,North Dakota,0,1,0,"87,511","119,668","5,709","32,157",D,42.24,57.76
House,19981103,N/A,Ohio,11,8,0,"1,752,443","1,593,873","28,625","158,570",R,52.37,47.63
House,19981103,N/A,Oklahoma,6,0,0,"538,194","314,358","6,096","223,836",R,63.13,36.87
House,19981103,N/A,Oregon,1,4,0,"401,501","631,246","57,610","229,745",D,38.88,61.12
House,19981103,N/A,Pennsylvania,10,11,0,"1,472,161","1,380,834","42,917","91,327",R,51.60,48.40
House,19981103,N/A,Rhode Island,0,2,0,"76,630","203,705","12,613","127,075",D,27.34,72.66
House,19981103,N/A,South Carolina,4,2,0,"580,028","369,790","23,858","210,238",R,61.07,38.93
House,19981103,N/A,South Dakota,1,0,0,"194,157","64,433",0,"129,724",R,75.08,24.92
House,19981103,N/A,Tennessee,5,4,0,"469,551","412,378","31,652","57,173",R,53.24,46.76
House,19981103,N/A,Texas,13,17,0,"1,786,731","1,531,234","143,920","255,497",R,53.85,46.15
House,19981103,N/A,Utah,3,0,0,"304,256","126,505","40,088","177,751",R,70.63,29.37
House,19981103,N/A,Vermont,0,0,1,"70,740",0,"144,393","73,653",O,100.00,.00
House,19981103,N/A,Virginia,5,6,0,"542,216","514,435","92,210","27,781",R,51.31,48.69
House,19981103,N/A,Washington,4,5,0,"818,552","980,157","59,339","161,605",D,45.51,54.49
House,19981103,N/A,West Virginia,0,3,0,"29,136","283,272","38,869","244,403",D,9.33,90.67
House,19981103,N/A,Wisconsin,4,5,0,"880,320","761,821","31,334","118,499",R,53.61,46.39
House,19981103,N/A,Wyoming,1,0,0,"100,687","67,399","6,133","33,288",R,59.90,40.10
,
CensusPopAll,AreaAll,RepWinnerAll,DemWinnerAll,OtherWinnerAll,TotalVotesAll,RepVotesAll,DemVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United State,223,211,1,"65,896,772","32,254,557","31,482,036","2,160,179","772,521",R,48.95,47.77,3.28,50.61,49.39
