"year"	"YPVI"	"YPPVI"	"YPM"
"1"	1984	0.544	NA	NA
"2"	1986	1.038	NA	NA
"3"	1988	0.922	NA	NA
"4"	1990	0.818000000000001	0.544	0.274000000000001
"5"	1992	0.540000000000001	1.038	-0.497999999999999
"6"	1994	-0.718000000000001	0.922	-1.64
"7"	1996	0.0319999999999993	0.818000000000001	-0.786000000000001
"8"	1998	-0.122	0.540000000000001	-0.662
"9"	2000	-0.0459999999999994	-0.718000000000001	0.672000000000001
"10"	2002	-0.509999999999999	0.0319999999999993	-0.541999999999999
"11"	2004	-0.274	-0.122	-0.152
"12"	2006	0.818000000000001	-0.0459999999999994	0.864
"13"	2008	1.112	-0.509999999999999	1.622
"14"	2010	NA	-0.274	NA
"15"	2012	NA	0.818000000000001	NA
"16"	2014	NA	1.112	NA
